id_idx,dane_code,addr_full1,addr_full2,municipio,dummy,lat,lon
"241,41001,""NEIVA, HUILA, Colombia"",""NEIVA, HUILA, Colombia"",NEIVA,0,2.9344837,-75.2809001"
"242,41306,""GIGANTE, HUILA, Colombia"",""GIGANTE, HUILA, Colombia"",GIGANTE,0,2.384507,-75.5428879999999"
"243,41319,""GUADALUPE, HUILA, Colombia"",""GUADALUPE, HUILA, Colombia"",GUADALUPE,0,2.025561,-75.758955"
"244,41349,""HOBO, HUILA, Colombia"",""HOBO, HUILA, Colombia"",HOBO,0,2.5823879,-75.4498602"
"245,41357,""√çQUIRA, HUILA, Colombia"",""√çQUIRA, HUILA, Colombia"",√çQUIRA,0,2.649516,-75.635076"
"246,41359,""ISNOS, HUILA, Colombia"",""ISNOS, HUILA, Colombia"",ISNOS,0,1.9304069,-76.2153744"
"247,41378,""LA ARGENTINA, HUILA, Colombia"",""LA ARGENTINA, HUILA, Colombia"",LA ARGENTINA,0,2.198444,-75.978781"
"248,41396,""LA PLATA, HUILA, Colombia"",""LA PLATA, HUILA, Colombia"",LA PLATA,0,2.389011,-75.8942469"
"249,41483,""N√ÅTAGA, HUILA, Colombia"",""N√ÅTAGA, HUILA, Colombia"",N√ÅTAGA,0,2.544621,-75.8089408"
"250,41503,""OPORAPA, HUILA, Colombia"",""OPORAPA, HUILA, Colombia"",OPORAPA,0,2.0259109,-75.994964"
"251,41518,""PAICOL, HUILA, Colombia"",""PAICOL, HUILA, Colombia"",PAICOL,0,2.4493146,-75.7745343"
"252,41524,""PALERMO, HUILA, Colombia"",""PALERMO, HUILA, Colombia"",PALERMO,0,2.886246,-75.433419"
"253,41530,""PALESTINA, HUILA, Colombia"",""PALESTINA, HUILA, Colombia"",PALESTINA,0,1.723926,-76.1344901"
"254,41548,""PITAL, HUILA, Colombia"",""PITAL, HUILA, Colombia"",PITAL,0,2.266733,-75.803848"
"255,41551,""PITALITO, HUILA, Colombia"",""PITALITO, HUILA, Colombia"",PITALITO,0,1.8563309,-76.0461610999999"
"256,41615,""RIVERA, HUILA, Colombia"",""RIVERA, HUILA, Colombia"",RIVERA,0,2.777781,-75.2594359"
"257,41660,""SALADOBLANCO, HUILA, Colombia"",""SALADOBLANCO, HUILA, Colombia"",SALADOBLANCO,0,1.993097,-76.0436139999999"
"258,41668,""SAN AGUST√çN, HUILA, Colombia"",""SAN AGUST√çN, HUILA, Colombia"",SAN AGUST√çN,0,1.8799122,-76.2702092"
"259,41676,""SANTA MAR√çA, HUILA, Colombia"",""SANTA MAR√çA, HUILA, Colombia"",SANTA MAR√çA,0,2.939062,-75.5863859999999"
"260,41770,""SUAZA, HUILA, Colombia"",""SUAZA, HUILA, Colombia"",SUAZA,0,1.9769565,-75.7950396"
"261,41791,""TARQUI, HUILA, Colombia"",""TARQUI, HUILA, Colombia"",TARQUI,0,2.1131628,-75.8251059"
"262,41797,""TESALIA, HUILA, Colombia"",""TESALIA, HUILA, Colombia"",TESALIA,0,2.485427,-75.727318"
"263,41799,""TELLO, HUILA, Colombia"",""TELLO, HUILA, Colombia"",TELLO,0,3.0673499,-75.1381059"
"264,41801,""TERUEL, HUILA, Colombia"",""TERUEL, HUILA, Colombia"",TERUEL,0,2.741117,-75.5685029999999"
"265,41807,""TIMAN√Å, HUILA, Colombia"",""TIMAN√Å, HUILA, Colombia"",TIMAN√Å,0,1.974415,-75.932847"
"266,41872,""VILLAVIEJA, HUILA, Colombia"",""VILLAVIEJA, HUILA, Colombia"",VILLAVIEJA,0,3.2207713,-75.2188977"
"267,41885,""YAGUAR√Å, HUILA, Colombia"",""YAGUAR√Å, HUILA, Colombia"",YAGUAR√Å,0,2.664454,-75.518334"
"268,41298,""GARZ√ìN, HUILA, Colombia"",""GARZ√ìN, HUILA, Colombia"",GARZ√ìN,0,2.195403,-75.6274679"
"269,41244,""EL√çAS, HUILA, Colombia"",""EL√çAS, HUILA, Colombia"",EL√çAS,0,2.0137131,-75.9379356"
"270,41206,""COLOMBIA, HUILA, Colombia"",""COLOMBIA, HUILA, Colombia"",COLOMBIA,0,3.3762396,-74.8023651"
"271,41132,""CAMPOALEGRE, HUILA, Colombia"",""CAMPOALEGRE, HUILA, Colombia"",CAMPOALEGRE,0,2.6851058,-75.3266416"
"272,41078,""BARAYA, HUILA, Colombia"",""BARAYA, HUILA, Colombia"",BARAYA,0,3.151685,-75.054209"
"273,41026,""ALTAMIRA, HUILA, Colombia"",""ALTAMIRA, HUILA, Colombia"",ALTAMIRA,0,2.063112,-75.787545"
"274,41020,""ALGECIRAS, HUILA, Colombia"",""ALGECIRAS, HUILA, Colombia"",ALGECIRAS,0,2.523286,-75.3156229"
"275,41016,""AIPE, HUILA, Colombia"",""AIPE, HUILA, Colombia"",AIPE,0,3.222104,-75.2374504"
"276,41013,""AGRADO, HUILA, Colombia"",""AGRADO, HUILA, Colombia"",AGRADO,0,2.2590575,-75.7724765999999"
"277,41006,""ACEVEDO, HUILA, Colombia"",""ACEVEDO, HUILA, Colombia"",ACEVEDO,0,1.805165,-75.88834"
"278,11001,""BOGOT¡, D.C, Colombia"",""BOGOT¡, D.C, Colombia"",""BOGOT¡"",4.710988599999990,0,-74.072092"
